dataset_id	dataset_doi	dataset_type	dataset_name	citation_curie	citation_relationship	citation_type	citation_comment	citation_citation	citation_source
10	10.26275/wzry-sf7v	Dataset	Spatial distribution and morphometric characterization of vagal afferents associated with the myenteric plexus of the rat stomach	doi:10.1152/ajpregu.00111.2020	Cites	Work		"Tan, Z. T., Ward, M., Phillips, R. J., Zhang, X., Jaffey, D. M., Chesney, L., Rajwa, B., Baronowsky, E. A., McAdams, J., & Powley, T. L. (2021). Stomach region stimulated determines effects on duodenal motility in rats. American Journal of Physiology-Regulatory, Integrative and Comparative Physiology, 320(3), R331âR341. https://doi.org/10.1152/ajpregu.00111.2020
"	OCI
11	10.26275/3m8n-0owa	Dataset	Spatial distribution and morphometric characterization of vagal afferents (intramuscular arrays (IMAs)) within the longitudinal and circular muscle layers of the rat stomach	doi:10.17504/protocols.io.2ipgcdn	IsDocumentedBy	Protocol		"Powley, T., Mcadams, J., & Phillips, R. (2019). High resolution labeling of vagal afferent fibers using Dextran-Biotin with counterstaining v1. https://doi.org/10.17504/protocols.io.2ipgcdn
"	SPARC
11	10.26275/3m8n-0owa	Dataset	Spatial distribution and morphometric characterization of vagal afferents (intramuscular arrays (IMAs)) within the longitudinal and circular muscle layers of the rat stomach	doi:10.1002/cne.23892	Describes	Originating Publication		"Powley, T. L., Hudson, C. N., McAdams, J. L., Baronowsky, E. A., & Phillips, R. J. (2015). Vagal Intramuscular Arrays: The Specialized Mechanoreceptor Arbors That Innervate the Smooth Muscle Layers of the Stomach Examined in the Rat. Journal of Comparative Neurology, 524(4), 713â737. Portico. https://doi.org/10.1002/cne.23892
"	SPARC
11	10.26275/3m8n-0owa	Dataset	Spatial distribution and morphometric characterization of vagal afferents (intramuscular arrays (IMAs)) within the longitudinal and circular muscle layers of the rat stomach	doi:10.1152/ajpregu.00111.2020	Cites	Work		"Tan, Z. T., Ward, M., Phillips, R. J., Zhang, X., Jaffey, D. M., Chesney, L., Rajwa, B., Baronowsky, E. A., McAdams, J., & Powley, T. L. (2021). Stomach region stimulated determines effects on duodenal motility in rats. American Journal of Physiology-Regulatory, Integrative and Comparative Physiology, 320(3), R331âR341. https://doi.org/10.1152/ajpregu.00111.2020
"	OCI
12	10.26275/ukz3-0fao	Dataset	Spatial distribution and morphometric characterization of vagal efferents associated with the myenteric plexus of the rat stomach	doi:10.17504/protocols.io.2iqgcdw	IsDocumentedBy	Protocol		"Jaffey, D., Powley, T., Mcadams, J., & Phillips, R. (2019). High resolution labeling of vagal efferent fibers using Dextran-Biotin with counterstaining v1. https://doi.org/10.17504/protocols.io.2iqgcdw
"	SPARC
12	10.26275/ukz3-0fao	Dataset	Spatial distribution and morphometric characterization of vagal efferents associated with the myenteric plexus of the rat stomach	doi:10.1038/s41583-021-00544-7	Cites	Work		"Kim, M., Heo, G., & Kim, S.-Y. (2022). Neural signalling of gut mechanosensation in ingestive and digestive processes. Nature Reviews Neuroscience, 23(3), 135â156. https://doi.org/10.1038/s41583-021-00544-7
"	OCI
12	10.26275/ukz3-0fao	Dataset	Spatial distribution and morphometric characterization of vagal efferents associated with the myenteric plexus of the rat stomach	doi:10.1152/ajpregu.00260.2022	Cites	Work		"Jaffey, D. M., McAdams, J. L., Baronowsky, E. A., Black, D., & Powley, T. L. (2023). Vagal preganglionic axons arborize in the myenteric plexus into two types: nitrergic and non-nitrergic postganglionic motor pools? American Journal of Physiology-Regulatory, Integrative and Comparative Physiology, 324(3), R305âR316. https://doi.org/10.1152/ajpregu.00260.2022
"	Datacite
35	10.26275/1upo-xvkt	Dataset	Feline brainstem neuron extracellular potential recordings	doi:10.17504/protocols.io.bci8iuhw	IsDocumentedBy	Protocol		"Segers, L., Morris, K., & Bolser, D. (2020). Morris USF Lab protocol v2. https://doi.org/10.17504/protocols.io.bci8iuhw
"	SPARC
35	10.26275/1upo-xvkt	Dataset	Feline brainstem neuron extracellular potential recordings	doi:10.3389/fphys.2018.00785	Describes	Originating Publication		"Horton, K.-K., Segers, L. S., Nuding, S. C., OâConnor, R., Alencar, P. A., Davenport, P. W., Bolser, D. C., Pitts, T., Lindsey, B. G., Morris, K. F., & Gestreau, C. (2018). Central Respiration and Mechanical Ventilation in the Gating of Swallow With Breathing. Frontiers in Physiology, 9. https://doi.org/10.3389/fphys.2018.00785
"	SPARC
35	10.26275/1upo-xvkt	Dataset	Feline brainstem neuron extracellular potential recordings	doi:10.1101/2021.02.10.430563	Cites	Work		"Bandrowski, A., Grethe, J. S., Pilko, A., Gillespie, T., Pine, G., Patel, B., Surles-Zeigler, M., & Martone, M. E. (2021). SPARC Data Structure: Rationale and Design of a FAIR Standard for Biomedical Research Data. https://doi.org/10.1101/2021.02.10.430563
"	Datacite
63	10.26275/uztw-z5sc	Dataset	Prototype simulation of undiseased human cardiac ventricular cells	doi:10.17504/protocols.io.xjwfkpe	IsDocumentedBy	Protocol		"clancy, C., & Yang, P.-C. (2019). Undiseased Human Cardiac Ventricular Cells v1. https://doi.org/10.17504/protocols.io.xjwfkpe
"	SPARC
63	10.26275/uztw-z5sc	Dataset	Prototype simulation of undiseased human cardiac ventricular cells	doi:10.1371/journal.pcbi.1002061	Describes	Originating Publication		"OâHara, T., VirÃ¡g, L., VarrÃ³, A., & Rudy, Y. (2011). Simulation of the Undiseased Human Cardiac Ventricular Action Potential: Model Formulation and Experimental Validation. PLoS Computational Biology, 7(5), e1002061. https://doi.org/10.1371/journal.pcbi.1002061
"	SPARC
51	10.26275/osy6-dn3o	Dataset	Bilateral recordings of cervical vagus nerve activity in rats	doi:10.17504/protocols.io.yxhfxj6	IsDocumentedBy	Protocol		"Napadow, V., Ay, I., & Morello, C. (2019). Recordings of cervical vagus nerve activity v1. https://doi.org/10.17504/protocols.io.yxhfxj6
"	SPARC
73	10.26275/xkoa-oqec	Dataset	iBAT (interscapular Brown Adipose Tissue) sympathetic innervation circuit pseudorabies viral tracing in reporter mice	doi:10.17504/protocols.io.wzuff6w	IsDocumentedBy	Protocol		"Huesing, C., Muenzberg, H., Burk, D., & Torres, H. (2019). iDISCO protocol for whole-mount immunostaining and volume imaging v1. https://doi.org/10.17504/protocols.io.wzuff6w
"	SPARC
73	10.26275/xkoa-oqec	Dataset	iBAT (interscapular Brown Adipose Tissue) sympathetic innervation circuit pseudorabies viral tracing in reporter mice	doi:10.17504/protocols.io.wz3ff8n	IsDocumentedBy	Protocol		"Huesing, C., Torres, H., Burk, D., & Muenzberg, H. (2019). Light sheet microscopy v1. https://doi.org/10.17504/protocols.io.wz3ff8n
"	SPARC
73	10.26275/xkoa-oqec	Dataset	iBAT (interscapular Brown Adipose Tissue) sympathetic innervation circuit pseudorabies viral tracing in reporter mice	doi:10.17504/protocols.io.w2vfge6	IsDocumentedBy	Protocol		"Pseudorabies Virus (PRV) injection into interscapular brown adipose tissue v1. (2019). https://doi.org/10.17504/protocols.io.w2vfge6
"	SPARC
49	10.26275/63lh-hdz5	Dataset	Electrophysiology in dog after subcutaneous nerve stimulation	doi:10.1016/j.hrthm.2019.02.027	Describes	Originating Publication		"Wan, J., Chen, M., Yuan, Y., Wang, Z., Shen, C., Fishbein, M. C., Chen, Z., Wong, J., Grant, M. B., Everett, T. H., & Chen, P.-S. (2019). Antiarrhythmic and proarrhythmic effects of subcutaneous nerve stimulation in ambulatory dogs. Heart Rhythm, 16(8), 1251â1260. https://doi.org/10.1016/j.hrthm.2019.02.027
"	SPARC
49	10.26275/63lh-hdz5	Dataset	Electrophysiology in dog after subcutaneous nerve stimulation	doi:10.17504/protocols.io.bz5wp87e	Cites	Work		"Subcutaneous nerve stimulation in canine model of persistent atrial fibrillation v1. (2021). https://doi.org/10.17504/protocols.io.bz5wp87e
"	Datacite
75	10.26275/prjd-jhoc	Dataset	Submandibular ganglion stained by bungarotoxin and nanosensors in mouse	doi:10.17504/protocols.io.wxrffm6	IsDocumentedBy	Protocol		"Staining and imaging of mouse submandibular ganglion by Î±-bungarotoxin and nanosensor v1. (2019). https://doi.org/10.17504/protocols.io.wxrffm6
"	SPARC
53	10.26275/nnyt-bqpg	Dataset	Phrenic nerve immunohistochemistry	doi:10.17504/protocols.io.2j3gcqn	IsDocumentedBy	Protocol		"Gonzalez-Rothi, E., Allen, L., Simon, A., Seven, Y., Ciesla, M., & Mitchell, G. (2019). SPARC Long-term exposure to intermittent hypoxia (or normoxia) using a custom in-cage computer controlled system v1. https://doi.org/10.17504/protocols.io.2j3gcqn
"	SPARC
53	10.26275/nnyt-bqpg	Dataset	Phrenic nerve immunohistochemistry	doi:10.17504/protocols.io.2kfgctn	IsDocumentedBy	Protocol		"Gonzalez-Rothi, E., Seven, Y., Allen, L., Ciesla, M., & Mitchell, G. (2019). SPARC Adenosine 2A Receptor Immunohistochemistry Protocol in Rat Tissues Labeled with Cholera Toxin B-fragment v1. https://doi.org/10.17504/protocols.io.2kfgctn
"	SPARC
53	10.26275/nnyt-bqpg	Dataset	Phrenic nerve immunohistochemistry	doi:10.17504/protocols.io.2kggctw	IsDocumentedBy	Protocol		"Gonzalez-Rothi, E., Seven, Y., Allen, L., Ciesla, M., & Mitchell, G. (2019). SPARC Serotonin (5-HT) Immunohistochemistry Protocol in Rat Tissues Labeled with Cholera Toxin B-fragment v1. https://doi.org/10.17504/protocols.io.2kggctw
"	SPARC
53	10.26275/nnyt-bqpg	Dataset	Phrenic nerve immunohistochemistry	doi:10.17504/protocols.io.2khgct6	IsDocumentedBy	Protocol		"Gonzalez-Rothi, E., Seven, Y., Allen, L., Ciesla, M., & Mitchell, G. (2019). SPARC Serotonin 2A Receptor (5-HT2AR) Immunohistochemistry Protocol in Rat Tissues Labeled with Cholera Toxin B-fragment v1. https://doi.org/10.17504/protocols.io.2khgct6
"	SPARC
53	10.26275/nnyt-bqpg	Dataset	Phrenic nerve immunohistochemistry	doi:10.17504/protocols.io.2kigcue	IsDocumentedBy	Protocol		"Gonzalez-Rothi, E., Seven, Y., Allen, L., Ciesla, M., & Mitchell, G. (2019). SPARC Serotonin 2B Receptor (5-HT2BR) Immunohistochemistry Protocol in Rat Tissues Labeled with Cholera Toxin B-fragment v1. https://doi.org/10.17504/protocols.io.2kigcue
"	SPARC
53	10.26275/nnyt-bqpg	Dataset	Phrenic nerve immunohistochemistry	doi:10.17504/protocols.io.2kjgcun	IsDocumentedBy	Protocol		"Gonzalez-Rothi, E., Seven, Y., Allen, L., Ciesla, M., & Mitchell, G. (2019). SPARC Serotonin 7 Receptor (5-HT7) Immunohistochemistry Protocol in Rat Tissues Labeled with Cholera Toxin B-fragment v1. https://doi.org/10.17504/protocols.io.2kjgcun
"	SPARC
53	10.26275/nnyt-bqpg	Dataset	Phrenic nerve immunohistochemistry	doi:10.17504/protocols.io.2kngcve	IsDocumentedBy	Protocol		"Gonzalez-Rothi, E., Ciesla, M., Allen, L., & Mitchell, G. (2019). SPARC C2 Spinal Cord Hemisection Protocol in Rats v1. https://doi.org/10.17504/protocols.io.2kngcve
"	SPARC
53	10.26275/nnyt-bqpg	Dataset	Phrenic nerve immunohistochemistry	doi:10.17504/protocols.io.2kpgcvn	IsDocumentedBy	Protocol		"Allen, L., Ciesla, M., Seven, Y., Gonzalez-Rothi, E., & Pool, G. (2019). SPARC Retrograde Neuroanatomical Tracing of Phrenic Motor Neurons Using Intrapleural Injections of Cholera Toxin B Fragment v1. https://doi.org/10.17504/protocols.io.2kpgcvn
"	SPARC
28	10.26275/owri-mpsx	Dataset	Functional recordings from the pig intrinsic cardiac nervous system (ICN)	doi:10.17504/protocols.io.2jugcnw	IsDocumentedBy	Protocol		"Ardell, J. (2019). Pig ICN recording v1. https://doi.org/10.17504/protocols.io.2jugcnw
"	SPARC
28	10.26275/owri-mpsx	Dataset	Functional recordings from the pig intrinsic cardiac nervous system (ICN)	doi:10.1016/j.ifacol.2023.01.031	Cites	Work		"Gee, M. M., Lenhoff, A. M., Schwaber, J. S., Ogunnaike, B. A., & Vadigepalli, R. (2022). Modeling and Analysis of the Intrinsic Cardiac Nervous System in Closed-Loop Cardiovascular Control. IFAC-PapersOnLine, 55(23), 146â147. https://doi.org/10.1016/j.ifacol.2023.01.031
"	Datacite
82	10.26275/pgr9-bk2e	Dataset	Pig vagus nerve stained with Masson's trichrome	doi:10.17504/protocols.io.6bqhamw	IsDocumentedBy	Protocol		"SPARC_Duke_PelotGrill_OT2-OD025340_PigVagusNerve_Collection_Histology_Microscopy v1. (2019). https://doi.org/10.17504/protocols.io.6bqhamw
"	SPARC
16	10.26275/z3ab-7j9y	Dataset	Rat vagus nerve stained with Masson's trichrome	doi:10.17504/protocols.io.ww3ffgn	IsDocumentedBy	Protocol		"SPARC_Duke_Grill_OT2-OD025340_RatVagusNerveCollectionHistologyMicroscopy v1. (2019). https://doi.org/10.17504/protocols.io.ww3ffgn
"	SPARC
16	10.26275/z3ab-7j9y	Dataset	Rat vagus nerve stained with Masson's trichrome	doi:10.17504/protocols.io.bh4bj8sn	IsDocumentedBy	Protocol		"SPARC_Duke_PelotGrill_OT2-OD025340_RatVagusNerve_Collection_Histology_Microscopy v2. (2020). https://doi.org/10.17504/protocols.io.bh4bj8sn
"	SPARC
16	10.26275/z3ab-7j9y	Dataset	Rat vagus nerve stained with Masson's trichrome	doi:10.3389/fnins.2020.601479	Describes	Originating Publication		"Pelot, N. A., Goldhagen, G. B., Cariello, J. E., Musselman, E. D., Clissold, K. A., Ezzell, J. A., & Grill, W. M. (2020). Quantified Morphology of the Cervical and Subdiaphragmatic Vagus Nerves of Human, Pig, and Rat. Frontiers in Neuroscience, 14. https://doi.org/10.3389/fnins.2020.601479
"	K-Core
41	10.26275/boe7-1bms	Dataset	Characterizing the effect of feeding distension and emetic stimuli on gastric myoelectric activity in ferrets	doi:10.17504/protocols.io.6a7hahn	IsDocumentedBy	Protocol		"C Horn, C., M. Miller, D., Fulton, S., J. Yates, B., E. Fisher, L., & C. Nanivadekar, A. (2019). SPARC - Acute surgery and experimentation of the gastrointestinal tract and vagus nerve in the ferret v1. https://doi.org/10.17504/protocols.io.6a7hahn
"	SPARC
41	10.26275/boe7-1bms	Dataset	Characterizing the effect of feeding distension and emetic stimuli on gastric myoelectric activity in ferrets	doi:10.17504/protocols.io.6a8hahw	IsDocumentedBy	Protocol		"C Horn, C., M. Miller, D., Fulton, S., J. Yates, B., E. Fisher, L., & C. Nanivadekar, A. (2019). SPARC - Gastrointestinal myoelectric recordings from the behaving ferret v1. https://doi.org/10.17504/protocols.io.6a8hahw
"	SPARC
41	10.26275/boe7-1bms	Dataset	Characterizing the effect of feeding distension and emetic stimuli on gastric myoelectric activity in ferrets	doi:10.17504/protocols.io.6crhav6	IsDocumentedBy	Protocol		"C Horn, C., M. Miller, D., Fulton, S., J. Yates, B., E. Fisher, L., & C. Nanivadekar, A. (2019). SPARC - Chronic implantation of gastrointestinal and vagus nerve electrodes in the ferret v1. https://doi.org/10.17504/protocols.io.6crhav6
"	SPARC
41	10.26275/boe7-1bms	Dataset	Characterizing the effect of feeding distension and emetic stimuli on gastric myoelectric activity in ferrets	doi:10.1371/journal.pone.0223279	Describes	Originating Publication		"Nanivadekar, A. C., Miller, D. M., Fulton, S., Wong, L., Ogren, J., Chitnis, G., McLaughlin, B., Zhai, S., Fisher, L. E., Yates, B. J., & Horn, C. C. (2019). Machine learning prediction of emesis and gastrointestinal state in ferrets. PLOS ONE, 14(10), e0223279. https://doi.org/10.1371/journal.pone.0223279
"	SPARC
